weapon,x,y,dmg,dmg_type
arrow,3.4612254491503514,95.8161408916502,114,fire
bomb,70.56975238809304,23.437462933521303,110,poison
rifle,73.33840340171713,2.104401926406796,318,poison
bomb,21.281584334103833,2.7663990511239356,81,thunder
magic,95.24923186618264,19.07221365509848,276,lightning
rifle,76.82456637469029,8.561703126828757,24,cold
magic,95.62453613351937,14.110093959309033,3,acid
rifle,96.48736084712291,35.156697995152655,105,fire
bomb,17.215695207464943,26.31082039362852,122,lightning
bomb,21.3337689727781,28.665723532081998,149,poison
rifle,82.66639789579348,7.050226993175546,3,lightning
arrow,81.52703131133075,25.579020743171064,267,lightning
bomb,65.94668405537327,9.970623559444824,325,lightning
arrow,76.16293199397153,80.60604787075366,109,thunder
bomb,70.50417837324655,22.742882887745086,206,cold
magic,65.6242621669533,63.60291136067951,328,acid
arrow,25.11337424578003,66.36890592103816,232,lightning
arrow,1.9292335632444813,15.476191364478586,60,poison
magic,28.67907867237213,64.85855888478373,129,cold
bomb,36.1297322870606,27.409444689059814,337,poison
arrow,33.44856216408086,82.19456239840541,92,lightning
magic,3.9800111540799654,59.241281428243255,10,cold
bomb,22.177366513475672,84.16714600099998,291,thunder
arrow,67.30150585970826,29.477097644893668,10,cold
bomb,70.91784304953569,62.773245612387555,330,acid
magic,5.504477165337141,62.6402173564237,246,thunder
bomb,0.04248761083673891,87.88096592452712,92,poison
arrow,63.48718925832442,98.5343999781301,262,thunder
magic,2.5959137032771418,8.551188478769834,1,lightning
arrow,82.75244968250811,72.9800680293887,285,lightning
rifle,56.26594337843534,30.664989542426735,65,lightning
arrow,77.042199808824,52.98461463797079,34,thunder
rifle,92.52830711260994,3.7331362096686083,116,acid
magic,18.017303784290394,71.6995908597195,273,poison
arrow,80.71792460137509,14.727146823498316,234,fire
magic,85.63116745397612,55.406085080619405,311,lightning
arrow,48.761364089900624,48.783833364560714,280,thunder
bomb,84.40444527427005,92.56371820021612,321,thunder
magic,6.807171577643412,47.5778457366265,122,lightning
arrow,18.382490800843886,69.11809976039032,199,lightning
magic,48.73267852863643,73.09608051127907,7,lightning
arrow,94.47329581727408,89.55264946208028,91,lightning
arrow,35.33469469512311,75.3182362749216,183,thunder
arrow,55.47527949876812,97.5307529419938,231,fire
rifle,8.748758791210232,93.92884012326256,241,thunder
rifle,96.31666826070737,59.99720607096417,89,acid
magic,20.850901009115386,92.85661159561329,202,lightning
rifle,53.38708270044599,84.14031123163171,157,poison
arrow,68.2368332992316,50.96910540690624,2,poison
arrow,57.31693100607341,22.400334990744085,29,poison
magic,14.204529285555534,17.254848651182908,92,poison
arrow,29.46046773719476,87.1950226640638,137,acid
rifle,98.31263686115808,98.87418914336114,98,cold
rifle,41.37519017502576,40.37834025385828,239,thunder
magic,72.82713786688981,34.43704215673489,284,fire
bomb,18.38137456946981,48.66154463657355,51,fire
rifle,48.65215987188044,93.8432769455957,31,fire
rifle,89.68144407832693,2.6019315932593767,140,thunder
rifle,3.740989094675762,28.602397597054207,241,fire
rifle,63.60615945895526,38.337675117723855,204,fire
magic,39.452691081611015,18.337159843107244,7,lightning
rifle,65.74375665148524,67.13819420227173,106,thunder
magic,80.15643887077003,1.1335799114133627,141,poison
bomb,33.48461535309991,56.20862380526545,121,poison
arrow,91.9828081466352,43.29795612863616,132,lightning
magic,29.533964915607246,1.7197603120390315,219,fire
bomb,33.37113860553499,36.17965519796302,194,lightning
magic,37.66013741322914,85.32413799476213,87,acid
bomb,1.2251104892958442,51.40695333234378,79,fire
rifle,3.6189075459464815,29.30109000231187,347,thunder
magic,39.920566020824964,38.87748032351119,285,fire
bomb,47.92849820886412,18.64204626099707,12,lightning
bomb,71.04134161721511,97.0950751935369,77,poison
bomb,39.530370194414076,35.0040931138765,186,cold
rifle,66.17960548823422,89.3364280598923,130,fire
arrow,1.367883706836126,61.5923441880999,237,cold
arrow,59.32595291286462,91.49506195747237,321,acid
arrow,77.27116781072355,0.37205693410462537,19,thunder
magic,8.329072666713177,53.314720010280794,165,lightning
arrow,85.57680956238447,88.58834617731775,233,cold
bomb,87.80910608299915,90.49171366614988,142,lightning
arrow,85.01106072884473,15.275344183713601,340,fire
arrow,93.29216598044098,75.78818674564897,51,poison
arrow,31.31075805750907,78.52599566280095,88,acid
magic,68.63846807710075,75.94035780940007,104,poison
arrow,7.469943480609098,90.61862542556833,346,thunder
rifle,72.28774213073514,7.134037610739563,13,thunder
magic,72.1036531358966,63.157591594573034,162,poison
rifle,97.09202210559192,74.43274594237582,335,acid
bomb,61.59065577333062,26.94945138794114,210,lightning
bomb,45.35243868020006,51.179422874763894,213,poison
bomb,7.044849423462541,39.432519133314116,177,poison
bomb,70.81291069149674,58.39330532015287,287,fire
magic,94.67216781099235,55.07118480590724,96,lightning
rifle,0.6121698422453692,78.52392807109226,338,lightning
arrow,81.30588459929687,4.1757818353942096,2,thunder
bomb,49.13227010394308,37.22016274448558,347,poison
rifle,67.56694839590513,48.02705547354683,124,acid
bomb,61.86475751163941,56.391072511076445,74,lightning
bomb,60.235947284911674,92.44650398026047,285,acid
arrow,12.677494090269892,17.246271354701847,157,fire
bomb,54.93273145688302,63.59058946167087,234,poison
magic,54.46647415709093,95.57561813780676,311,fire
arrow,35.34308103305951,20.86810591012912,226,fire
bomb,31.90690325531582,90.31837108406768,137,poison
arrow,81.40943787398164,68.6060019585002,292,fire
rifle,71.64259334122637,46.9110445949117,180,lightning
rifle,42.42381528544489,41.350396320510484,273,acid
magic,44.16514060493931,99.94949958005425,159,cold
magic,69.84154158339237,77.71373871116553,287,lightning
bomb,71.63415828219135,23.735919408528982,64,cold
magic,88.00435816899828,80.09581317582119,39,lightning
rifle,56.778819845216276,86.46514791696023,185,poison
magic,5.227515353872647,81.01522654065725,328,cold
arrow,32.272670145645165,39.99854941141088,269,thunder
rifle,48.84776153503903,40.70104678148236,116,poison
rifle,34.12340783645119,4.883340495824562,254,fire
bomb,0.38912987114390063,60.24957325779584,45,fire
magic,59.78472954955837,55.02166117647099,343,fire
magic,18.148720481774163,40.59446458461535,9,cold
bomb,75.94930932012079,61.07424147320655,211,cold
rifle,17.509800363597694,81.92284966491736,337,cold
magic,40.28392489173326,13.112807376938596,91,thunder
arrow,98.4895751283558,27.02410924008728,172,thunder
magic,19.133492269767395,45.40942179727615,278,cold
arrow,25.151062748298138,12.92139978566853,202,cold
rifle,4.241499397312465,83.392371724663,347,poison
magic,83.12186022110755,62.530512999051666,168,poison
magic,77.10011085845936,38.282746520190855,38,lightning
magic,16.875234013411156,22.464028492113307,193,thunder
bomb,6.057712617387168,0.015099183566635865,151,thunder
arrow,0.06509316997656,35.34468537897136,17,poison
bomb,98.39678295502604,36.4438491727323,107,cold
magic,67.08637425621458,4.30585877479166,161,thunder
magic,1.119181120050683,68.57809027256852,345,fire
bomb,51.6884125969043,92.3668287913867,188,cold
bomb,50.3564964711307,81.80319648627126,254,lightning
rifle,91.24880974832028,69.96825116916773,237,cold
magic,66.4424497883301,8.91415199010086,118,poison
magic,24.148992928358936,74.0095616528514,223,thunder
rifle,24.694461475673492,61.73143380919176,335,cold
magic,91.69026492253697,91.34301513655458,134,thunder
rifle,42.36258327950567,5.872404868004322,268,poison
rifle,42.44579018796975,40.65299653753319,298,cold
bomb,52.48608098638275,46.81317691702843,219,cold
rifle,84.06428409036405,10.675075954574243,200,lightning
bomb,17.946663396129814,99.11970809822829,300,thunder
magic,81.620677413651,15.539092710504065,306,acid
magic,75.0221818860144,37.21075776181782,311,lightning
magic,29.81384584206118,35.327190427913166,258,poison
magic,34.577223417053084,93.40082919653774,205,fire
rifle,62.98024764183382,46.22436302277018,162,thunder
arrow,9.659088163920426,26.060106913540537,306,acid
rifle,27.900576723821057,29.294039651789618,273,thunder
rifle,0.5097301052208736,69.79941393438503,203,cold
arrow,16.03132161288364,38.72085402335892,63,acid
bomb,76.78679186272187,37.69666537176638,198,fire
bomb,10.281772901803121,85.0301550213278,168,thunder
magic,67.85008789731414,72.38543524309169,54,fire
arrow,1.5099948396868679,57.96614117826822,36,poison
bomb,42.61803186798456,18.429059019820638,209,thunder
arrow,79.29655730181572,91.29135297992809,325,acid
bomb,87.31643482480374,7.171442581497256,252,thunder
rifle,4.915791677448844,6.775003398287282,46,lightning
arrow,55.105295473877604,93.99284289105219,145,lightning
arrow,63.507435234808376,10.684838602277125,271,thunder
arrow,87.72651347526339,41.663183615834306,330,thunder
rifle,74.85963927669312,41.16088637615075,0,lightning
rifle,9.271793911890136,20.41772169660937,170,fire
rifle,26.98770814429364,55.33361630891556,255,lightning
bomb,2.518786515789606,61.2774344532072,27,acid
arrow,59.133527361760684,95.75678709105217,180,fire
arrow,35.1874486413699,34.22718868783888,228,acid
magic,83.9435891622413,12.14634871673047,13,poison
arrow,73.20810897263542,99.36914702778984,196,acid
arrow,62.154405237542235,42.802511877872426,53,fire
arrow,78.61113548662603,28.529432210803996,80,fire
rifle,92.06925659524742,29.73558231235225,41,fire
magic,79.1985571469913,76.0030216616295,138,thunder
magic,29.481819748509906,78.78420977851198,314,cold
arrow,98.77149039492257,85.30337733493246,172,cold
arrow,45.973362219075945,88.07786006710121,290,thunder
rifle,91.08833658207257,67.85663672135108,301,acid
bomb,41.03438808279427,9.259318338397327,175,lightning
magic,22.95466422212614,3.658303669448215,97,fire
arrow,6.365544986917692,23.222064684914734,24,fire
rifle,65.06106081565115,33.84433856847612,331,lightning
magic,85.35600021890065,98.93244560470374,20,fire
bomb,84.98528477863688,13.567998648323154,80,acid
magic,7.866485589684469,15.703997539858328,176,lightning
rifle,3.1018733464562853,25.333130521686964,331,lightning
bomb,13.32091615990313,6.49764759389464,337,poison
arrow,79.01718503180138,10.872505879960247,341,thunder
arrow,7.809329238191898,75.42952090687763,55,poison
arrow,98.72657502068971,76.22315059941523,312,fire
arrow,41.231738880732635,20.481332920818605,55,fire
bomb,28.56415934622374,75.20566658763447,165,acid
magic,16.138314890543825,54.33327670414758,116,thunder
rifle,46.26221340273566,84.5349475002193,336,lightning
bomb,43.914854893571274,95.60552796239708,324,fire
magic,27.67907882931414,28.21439778553314,269,poison
magic,7.963487300235716,89.32820374552868,248,acid
bomb,39.23881098476988,10.719782900204066,25,fire
arrow,63.27278446623678,93.34777246654764,112,lightning
bomb,45.281547280061865,11.34514426223927,120,cold
arrow,78.72241161785131,35.485021648094914,224,thunder
rifle,0.28406994437011335,66.12042418974515,215,fire
magic,62.63650904492556,75.75882336778878,208,acid
bomb,27.63856353994496,2.756996640632292,327,thunder
bomb,41.54072094678678,24.673455783564556,339,cold
rifle,25.35687051141563,71.60394832238457,41,thunder
bomb,16.18525553435315,78.91619962808801,312,fire
bomb,26.708866419455113,96.39329327341525,270,cold
arrow,0.00611193781541175,88.06601360024587,66,acid
arrow,22.733606228793867,40.98585966983772,320,lightning
magic,27.42610460150687,15.678872408577593,170,acid
arrow,55.58123842209357,27.24359593015535,180,cold
rifle,99.57791887463141,28.111181365911484,333,poison
arrow,29.930726171100986,88.06010445894542,347,cold
rifle,30.24253553546663,30.444622646536835,288,poison
arrow,94.3212035295187,68.36373224580333,106,acid
rifle,72.74697117734486,94.46907809178981,219,lightning
rifle,34.28931182748912,50.69358754808937,323,poison
rifle,47.16896459717624,75.08288787697673,284,thunder
rifle,30.21082676880993,39.41035748842915,65,thunder
bomb,8.64963279876454,34.452868554000304,1,cold
arrow,25.816970750754475,19.951680124997274,300,fire
bomb,20.269765094874238,48.18464711606506,166,acid
bomb,27.498654381294983,82.87195234459661,253,fire
rifle,0.3267447414821989,19.00555966133194,43,poison
arrow,20.04411765250722,42.4271663462598,272,thunder
bomb,59.74079153349958,64.0374628885076,127,poison
arrow,85.7393121183166,11.903693350771993,88,poison
bomb,63.49868810829105,6.65049852966767,4,cold
rifle,96.66679265765119,85.76562637826117,29,cold
bomb,61.94230544740642,7.625603706200101,93,poison
rifle,66.66040639815334,47.49933686928023,202,thunder
magic,76.1242866996921,18.76243508200114,325,cold
bomb,38.675141616021236,40.28095240156121,284,thunder
rifle,20.41675211119073,32.139742898225364,281,cold
bomb,45.72747484800064,87.83156702226454,41,thunder
arrow,22.707346055222523,4.071947486152993,86,acid
magic,68.45616675630971,9.319704585496947,51,acid
magic,63.83600157585586,90.14825678723795,156,cold
bomb,59.90555871138632,52.37735972357912,234,thunder
magic,32.09694906111612,0.19065701026761417,295,fire
rifle,0.25314076941709285,73.13222663711498,344,thunder
magic,97.1822775298296,80.49715926225231,213,fire
rifle,80.4836600203471,7.75031985575243,191,poison
arrow,46.81968884937046,6.619761298495252,258,acid
bomb,18.414535958848543,78.71853561953995,283,thunder
magic,57.14667950790624,29.23429467316644,306,poison
rifle,34.06099242758627,29.68117419087548,167,lightning
bomb,24.839057165490587,86.66695252207177,7,cold
bomb,51.321008730561054,23.234897346564143,75,fire
arrow,86.34805452747536,28.248296904472582,205,fire
bomb,10.147243994566812,74.95009696723449,93,acid
magic,37.01010023774218,6.383585054678198,11,acid
magic,24.042693355772393,79.16219565273656,182,acid
rifle,77.69217066748702,24.717927012049202,245,fire
arrow,2.8741233355506934,90.41011511409096,125,poison
magic,65.1001666821398,21.296331167888383,186,acid
magic,3.87363430464015,25.40411468631085,1,poison
magic,5.842960245798912,7.118835276323754,11,lightning
bomb,70.31341708439406,4.593393464882611,315,lightning
magic,54.02987553340569,65.14149992856672,209,fire
rifle,4.580417734718356,77.50993887921996,163,lightning
arrow,4.070041021100068,91.9955293444373,201,acid
rifle,95.07779278395962,86.92541347629393,321,acid
magic,42.564364753883844,64.24451656966839,225,cold
bomb,58.48940497272559,18.627662403905067,280,fire
rifle,53.95557621277813,76.39684713790675,140,cold
arrow,69.78609800492592,18.902911406870704,155,thunder
bomb,55.9261987628084,75.65857981953721,75,lightning
arrow,60.51675394434861,47.527018996042116,236,poison
bomb,94.55677128620981,26.232584568336225,230,thunder
rifle,55.049015961959405,67.23665044073653,224,fire
bomb,39.370648156113695,13.31256441712939,337,fire
arrow,32.55023910551186,20.92632289406977,16,fire
magic,18.007976271934655,95.23184260989284,333,thunder
magic,84.34623221079714,45.20707112074489,295,thunder
rifle,69.02114633584583,42.038798487020316,73,poison
rifle,65.29397563211575,28.044554100543895,180,acid
bomb,59.433169717249555,18.06416523119061,130,fire
arrow,40.32681999107114,74.0110341061241,239,fire
arrow,73.16319277242418,18.26326726860198,335,acid
rifle,39.51119464108543,46.98809232086065,343,poison
magic,1.5709743631609818,7.810522430436661,275,lightning
bomb,90.47436689536163,98.6622114378924,62,fire
magic,36.39377199266529,3.1787992069292503,196,fire
rifle,81.628411235451,24.1686138222,295,thunder
bomb,48.76017963129748,42.91324818778713,315,fire
bomb,92.5948912960444,88.86344447098277,254,acid
bomb,87.19564840310906,13.74988488147183,122,poison
rifle,0.3848803090003905,43.62999384798286,253,thunder
rifle,21.049931027424982,95.87292532971962,207,fire
bomb,75.68174612591815,73.68457376342323,160,thunder
arrow,26.654135481574436,91.99128581139794,287,poison
magic,11.061571146071492,3.4425477064162213,263,fire
arrow,14.10986385034465,99.38439540593073,348,poison
bomb,65.77299203154298,35.3568553181667,269,acid
bomb,46.76570857667123,46.15553223369386,315,fire
arrow,47.62004113788637,22.02757338301794,125,cold
magic,91.11751098816116,35.08466160339325,46,cold
bomb,55.74138001350061,92.59590677434342,42,acid
bomb,9.781546793543372,81.34096019739383,132,poison
bomb,25.04313683270546,74.10735177597012,60,thunder
rifle,16.687508594477297,17.167483921791238,207,poison
magic,28.79393040698116,16.8446570208437,128,fire
arrow,27.3450179008326,38.071412840479056,244,fire
magic,95.17925822596881,97.08406723038631,275,cold
arrow,84.99455491355504,42.398149388609816,183,fire
bomb,46.225135278317,20.501293575739375,260,cold
arrow,76.91761462588002,62.66703276048371,181,thunder
bomb,82.07345696660977,51.4448890893395,166,poison
arrow,27.758706064689655,65.55795276386014,260,lightning
magic,25.45419711751983,47.02352827981295,185,thunder
magic,64.8244931641191,52.72961694421047,210,poison
magic,44.76685362281337,53.75165535259225,92,acid
bomb,30.8717983250451,64.03620789406219,55,acid
rifle,39.001218240108614,40.94570963170939,211,thunder
magic,48.540020178461255,11.435949003036882,133,cold
rifle,56.112036690456705,28.50294190322421,308,thunder
arrow,60.73795976432494,96.49032618490962,143,cold
magic,28.91490159325041,20.76423006453011,345,acid
